id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime,p3moves,p3distance,p3thinkingtime
0,p1,19,0,0.139,19,5,0,19,9,0.103
1,p1,27,0,0.101,27,4,0,27,1,0.099
2,p1,20,0,0.126,20,6,0,20,7,0.14
3,p1,27,0,0.068,27,7,0,27,2,0.09
4,p1,21,0,0.085,21,9,0,21,4,0.107
5,p1,20,0,0.125,20,6,0,20,9,0.123
6,p1,18,0,0.107,18,10,0,18,9,0.147
7,p3,21,3,0.096,21,13,0,20,1,0.107
8,p1,24,0,0.072,24,7,0,24,0,0.093
9,p1,24,0,0.134,24,5,0,24,2,0.068
10,p1,20,0,0.127,20,6,0,20,13,0.104
11,p1,28,0,0.1,28,4,0,28,1,0.09
12,p1,20,0,0.123,20,14,0,20,13,0.105
13,p1,24,0,0.113,24,5,0,24,6,0.104
14,p2,25,1,0.14,24,0,0,24,3,0.129
15,p3,27,3,0.097,27,1,0,26,2,0.116
16,p3,28,4,0.096,28,2,0,27,0,0.141
17,p1,20,0,0.111,20,5,0,20,9,0.162
18,p1,24,0,0.162,24,5,0,24,2,0.112
19,p1,23,0,0.12,23,7,0,23,2,0.087
20,p2,26,1,0.103,25,0,0,25,1,0.105
21,p3,25,1,0.125,25,7,0,24,0,0.104
22,p1,21,0,0.104,21,10,0,21,6,0.125
23,p2,28,1,0.077,27,0,0,27,2,0.103
24,p1,20,0,0.141,20,14,0,20,5,0.116
25,p1,22,0,0.1,22,3,0,22,4,0.096
26,p1,22,0,0.122,22,10,0,22,1,0.107
27,p1,24,0,0.153,24,1,0,24,1,0.123
28,p1,21,0,0.124,21,11,0,21,1,0.133
29,p1,23,0,0.112,23,6,0,23,2,0.151
30,p1,23,0,0.116,23,4,0,23,4,0.117
31,p2,24,2,0.105,23,0,0,23,5,0.108
32,p1,22,0,0.114,22,6,0,22,12,0.106
33,p2,24,1,0.105,23,0,0,23,6,0.089
34,p1,20,0,0.133,20,11,0,20,10,0.098
35,p2,25,5,0.103,24,0,0,24,1,0.092
36,p3,29,1,0.112,29,6,0,28,0,0.075
37,p1,25,0,0.101,25,8,0,25,2,0.092
38,p1,24,0,0.099,24,5,0,24,6,0.098
39,p1,24,0,0.092,24,6,0,24,1,0.105
40,p1,25,0,0.113,25,6,0,25,2,0.087
41,p1,21,0,0.138,21,14,0,21,8,0.127
42,p1,21,0,0.123,21,10,0,21,2,0.112
43,p1,22,0,0.114,22,10,0,22,9,0.089
44,p1,23,0,0.14,23,4,0,23,0,0.15
45,p1,24,0,0.111,24,6,0,24,1,0.123
46,p1,26,0,0.108,26,5,0,26,7,0.08
47,p1,21,0,0.133,21,11,0,21,1,0.113
48,p2,24,3,0.126,23,0,0,23,8,0.1
49,p1,22,0,0.131,22,14,0,22,6,0.134
,,,,,,,,,,
Total Experiment time: 9475.494999999983,,,,,,,,,,
