id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime,p3moves,p3distance,p3thinkingtime
0,p1,28,0,0.002,28,1,0,28,1,0.004
1,p3,24,2,0.004,24,5,0,23,0,0.004
2,p1,19,0,0.003,19,8,0,19,6,0.003
3,p1,27,0,0.002,27,2,0,27,4,0.003
4,p1,23,0,0.003,23,7,0,23,1,0.004
5,p1,27,0,0.002,27,6,0,27,1,0.002
6,p1,24,0,0.003,24,6,0,24,2,0.003
7,p1,20,0,0.004,20,8,0,20,10,0.003
8,p1,25,0,0.003,25,1,0,25,1,0.003
9,p1,20,0,0.004,20,8,0,20,4,0.003
10,p1,28,0,0.002,28,1,0,28,3,0.003
11,p1,27,0,0.002,27,4,0,27,2,0.003
12,p1,25,0,0.003,25,3,0,25,5,0.003
13,p1,22,0,0.004,22,5,0,22,7,0.003
14,p1,19,0,0.004,19,10,0,19,8,0.004
15,p3,25,1,0.002,25,5,0,24,0,0.003
16,p3,28,1,0.003,28,5,0,27,0,0.003
17,p1,23,0,0.003,23,6,0,23,1,0.002
18,p1,22,0,0.002,22,7,0,22,1,0.003
19,p1,22,0,0.003,22,7,0,22,5,0.003
20,p1,19,0,0.003,19,9,0,19,6,0.003
21,p1,24,0,0.003,24,5,0,24,3,0.003
22,p3,26,2,0.003,26,1,0,25,0,0.002
23,p1,29,0,0.002,29,4,0,29,3,0.003
24,p2,26,1,0.003,25,9,0,25,2,0.003
25,p1,25,0,0.003,25,7,0,25,4,0.003
26,p3,29,6,0.002,29,1,0,28,0,0.003
27,p1,23,0,0.003,23,2,0,23,6,0.004
28,p2,25,3,0.003,24,3,0,24,3,0.003
29,p1,25,0,0.002,25,1,0,25,1,0.003
30,p1,29,0,0.002,29,5,0,29,1,0.003
31,p1,24,0,0.003,24,2,0,24,2,0.003
32,p1,26,0,0.003,26,3,0,26,4,0.003
33,p3,29,1,0.002,29,1,0,28,0,0.003
34,p1,30,0,0.002,30,3,0,30,2,0.003
35,p2,25,6,0.003,24,0,0,24,4,0.003
36,p2,21,1,0.003,20,0,0,20,9,0.003
37,p2,24,3,0.003,23,0,0,23,10,0.003
38,p1,22,0,0.003,22,9,0,22,7,0.003
39,p1,23,0,0.003,23,4,0,23,7,0.003
40,p2,26,1,0.003,25,0,0,25,2,0.003
41,p1,20,0,0.003,20,12,0,20,11,0.003
42,p1,20,0,0.003,20,7,0,20,7,0.003
43,p1,29,0,0.003,29,1,0,29,3,0.003
44,p1,30,0,0.002,30,1,0,30,1,0.003
45,p1,25,0,0.002,25,3,0,25,1,0.003
46,p1,28,0,0.002,28,7,0,28,2,0.003
47,p1,25,0,0.003,25,5,0,25,1,0.003
48,p3,24,2,0.002,24,5,0,23,0,0.003
49,p1,25,0,0.002,25,4,0,25,1,0.003
,,,,,,,,,,
Total Experiment time: 9218.496999999987,,,,,,,,,,
