id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime
0,p2,21,2,0.013,20,0,0.289
1,p2,23,13,0.005,22,0,0.17
2,p2,21,13,0.002,20,0,0.051
3,p2,20,4,0.004,19,0,0.112
4,p2,20,4,0.003,19,0,0.114
5,p2,24,8,0.004,23,0,0.136
6,p2,21,0,0.004,20,0,0.134
7,p2,23,13,0.005,22,0,0.118
8,p2,25,1,0.006,24,0,0.135
9,p2,21,1,0.004,20,0,0.152
10,p1,19,0,0.005,19,1,0.178
11,p1,25,0,0.002,25,2,0.065
12,p2,20,4,0.003,19,0,0.106
13,p2,22,4,0.004,21,0,0.111
14,p1,20,0,0.002,20,1,0.082
15,p2,23,11,0.002,22,0,0.085
16,p2,29,1,0.002,28,0,0.067
17,p2,22,2,0.002,21,0,0.102
18,p1,21,0,0.002,21,1,0.071
19,p2,26,5,0.001,25,0,0.067
20,p2,24,7,0.002,23,0,0.058
21,p2,23,0,0.003,22,0,0.102
22,p2,25,1,0.003,24,0,0.068
23,p2,22,0,0.002,21,0,0.124
24,p1,21,0,0.003,21,3,0.099
25,p2,23,0,0.004,22,0,0.173
26,p2,27,1,0.002,26,0,0.111
27,p2,22,2,0.002,21,0,0.089
28,p2,22,9,0.003,21,0,0.091
29,p2,27,7,0.004,26,0,0.068
30,p2,25,12,0.002,24,0,0.062
31,p2,24,3,0.002,23,0,0.079
32,p2,20,3,0.003,19,0,0.123
33,p2,27,3,0.002,26,0,0.081
34,p2,21,3,0.003,20,0,0.096
35,p1,23,0,0.002,23,1,0.086
36,p2,23,7,0.003,22,0,0.115
37,p2,21,1,0.002,20,0,0.077
38,p2,22,4,0.002,21,0,0.08
39,p2,20,2,0.002,19,0,0.08
40,p2,22,1,0.003,21,0,0.101
41,p1,25,0,0.003,25,1,0.074
42,p2,21,2,0.002,20,0,0.076
43,p1,28,0,0.002,28,2,0.05
44,p2,22,6,0.005,21,0,0.137
45,p2,24,7,0.003,23,0,0.057
46,p2,25,7,0.003,24,0,0.071
47,p2,26,1,0.003,25,0,0.062
48,p2,20,15,0.003,19,0,0.078
49,p1,19,0,0.003,19,1,0.143

 Total Experiment time: 113.56000000000003
